"","ReasonA","ReasonB","Choice","Respondent"
"30","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Reason A is better","22405892"
"31","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","Reason A is better","22405892"
"32","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Reason A is better","22405892"
"33","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Reason A is better","22405892"
"34","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Reason A is better","22405892"
"35","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","Reason A is better","22405892"
"36","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Reason A is better","22405892"
"37","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","Reason A is better","22405892"
"38","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","Reason A is better","22405892"
"39","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Reason A is better","22405892"
"40","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason A is better","22405892"
"41","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Reason A is better","22405892"
"42","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Reason A is better","22405892"
"43","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","Reason A is better","22405892"
"44","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","Reason A is better","22405892"
"45","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","Reason A is better","22405892"
"46","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","Reason A is better","22405892"
"47","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Reason A is better","22405892"
"48","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Reason A is better","22405892"
"49","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Reason A is better","25318499"
"50","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","Reason A is better","25318499"
"51","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Reason A is better","25738271"
"52","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Reason B is better","25738271"
"53","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","Reason B is better","25738271"
"54","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Reason A is better","25738271"
"55","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","Reason B is better","25738271"
"56","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason B is better","26020516"
"57","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","Reason B is better","26020516"
"58","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","Reason B is better","26020516"
"59","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason A is better","26020516"
"60","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","Reason A is better","26020516"
"61","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","I am not sure","26230925"
"62","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","I am not sure","26230925"
"63","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","I am not sure","26230925"
"64","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","I am not sure","26230925"
"65","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","I am not sure","26230925"
"66","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","Reason B is better","27391346"
"67","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Reason B is better","27391346"
"68","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Reason A is better","27391346"
"69","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","Reason B is better","27391346"
"70","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Reason A is better","27391346"
"71","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Reason A is better","28704684"
"72","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","Reason A is better","28704684"
"73","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","Reason A is better","28704684"
"74","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","Reason B is better","29322411"
"75","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","Reason A is better","29322411"
"76","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason B is better","29322411"
"77","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason B is better","29322411"
"78","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Reason A is better","29322411"
"79","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Reason A is better","29617164"
"80","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","Reason A is better","29617164"
"81","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Reason A is better","29617164"
"82","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason A is better","29617164"
"83","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","Reason A is better","29617164"
"84","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Reason A is better","29617164"
"85","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","Reason A is better","29617164"
"86","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Reason A is better","29617164"
"87","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","Reason A is better","29617164"
"88","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","Reason A is better","29617164"
