"","module_clear_structure","module_intellectually_stimulating","module_requirements_clear","tutor_explains_well","tutor_inspires_interest","tutor_comfortable","tutor_respect","Choice","Respondent"
"50",1.2,0.1,1.1,-0.9,0,0.8,0,"Module A","30467965"
"51",0.9,-0.9,0.2,0.2,2,0,0,"Module A","30467965"
"52",-0.9,0,-1.2,0,0.1,-1.4,0,"Module B","30823953"
"53",-0.6,0.6,0.9,1,-0.3,0,0,"Module A","30823953"
"54",0,0.5,0.9,-0.3,-0.8,0.5,0,"Module A","30823953"
"55",-0.5,0.7,1.8,0.3,0.3,-0.2,0,"Module A","30823953"
"56",1.7,0.4,-1.4,1,0.2,-0.3,0.4,"Module A","30823953"
"57",-0.3,1,1.4,0.4,0.1,0.6,-0.1,"Module A","30852319"
"58",-1.6,0.1,-0.4,0.9,-0.6,-0.9,-0.1,"Module B","30852319"
"59",1,0.6,0.3,-0.6,1.3,-0.4,0.4,"Module A","30852319"
"60",-0.8,0.2,0.2,0.1,-0.8,1.6,-0.1,"Module B","30852319"
"61",0,-0.1,0.8,-0.3,1.6,0,0,"Module B","30852319"
"62",-0.7,0.4,1.3,-0.3,-0.4,-0.3,0,"Module B","34552136"
"63",-0.4,-1,0.6,1.5,-0.5,0.5,0.1,"Module A","34552136"
"64",1.5,0.6,-1.6,-1.6,-1.4,-0.5,-0.1,"Module B","34552136"
"65",-0.7,0.4,1.7,0,-0.9,-0.1,0,"Module A","34552136"
"66",0.8,0.8,-0.5,-0.3,-1.1,0.2,0.1,"Module A","34552136"
"67",0.3,1.8,-0.6,-0.5,1.5,2.1,0,"Module A","35876092"
"68",-0.7,0.4,0.5,0,-1.9,-0.3,0,"Module B","35876092"
"69",-0.2,-0.7,0.2,-1.2,0.3,0.5,-0.1,"Module B","35876092"
"70",0.4,1.1,0.3,2,-0.5,0.2,-0.1,"Module A","35876092"
"71",-0.1,-0.2,2.2,-0.9,1.3,0.1,0.1,"I am not sure","35876092"
"72",0,-0.3,-2.1,-0.9,-0.3,-0.2,0,"Module B","4097461"
"73",0.8,0.2,-1.2,0.8,-0.7,-1.2,0,"Module B","4097461"
"74",0.8,-0.1,1.8,-0.1,1.4,0.5,0,"Module B","4097461"
"75",0,-1.3,-0.7,0.5,2,-0.6,0.4,"Module A","4097461"
"76",2,1.3,-1.9,-0.2,-1.4,-0.2,0,"Module B","4097461"
"77",-2.1,-0.9,0.6,-2,0.9,-1.2,-0.2,"Module B","41796940"
"78",-1.6,-0.9,2.1,-0.6,0.3,0.5,0,"I am not sure","41796940"
"79",0.4,0.4,-0.2,0.3,-0.4,0.1,-1.2,"Module A","41796940"
"80",0.3,-0.4,0,-0.1,0.6,0.6,-0.1,"Module A","41796940"
"81",0.4,-0.3,-0.5,-0.3,-1.6,0,0.6,"Module B","41796940"
"82",0.3,0.1,1,-0.3,-0.6,-1,0,"I am not sure","42242611"
"83",-2,-1.4,-1.2,-1.2,-0.5,-2,0,"Module B","42242611"
"84",-0.3,0.1,0.4,0.1,0.9,0.1,0,"Module A","42242611"
"85",1.1,-0.4,-0.7,0.6,-1.4,0,0.9,"I am not sure","42242611"
"86",0.9,-0.4,0.3,-0.6,-0.3,0,-0.2,"I am not sure","42242611"
"87",1.1,-0.1,-0.1,1.4,0,0.6,0,"Module B","42703609"
"88",1,-0.3,-0.2,-0.6,-0.3,-0.2,0.4,"Module A","42703609"
"89",-0.2,-0.7,-2.2,-0.3,-0.1,0.2,-0.1,"I am not sure","42703609"
"90",-0.1,-0.3,-0.5,-0.8,-0.6,0.1,0,"Module A","42703609"
"91",-0.9,-0.2,-0.2,-0.3,1.8,0,0,"Module A","42703609"
"92",0.5,-0.3,-1.2,0.3,-0.1,0,-0.1,"Module A","42703609"
"93",0.2,1.1,-0.3,-1.5,0.2,0.7,0,"Module A","42703609"
"94",-0.6,1.4,0.6,-0.6,0.6,-0.1,0.5,"Module A","42703609"
"95",-1.4,1.2,-2.2,0.9,-1,-0.2,-1.1,"Module A","42703609"
"96",-0.2,-0.7,-1.1,0.1,0.2,0.3,-0.1,"Module A","42703609"
"97",-1.2,-0.3,-0.9,-0.3,0.6,-0.3,0,"Module A","42703609"
"98",-0.2,0.6,1,0.1,0.2,0.4,0,"Module A","42703609"
"99",-0.2,-0.2,1.8,0.8,1.3,0.1,0,"Module A","42703609"
"100",-0.2,-2.4,-0.2,2.7,0.2,-0.1,0,"Module A","42703609"
"101",0.5,-1.4,-0.5,0.1,-0.1,0.4,0,"Module A","42703609"
"102",-0.1,0.7,0.5,-0.6,-1.4,2.2,-0.2,"Module A","42703609"
"103",0.2,0,0.5,-0.5,-1.1,-0.2,0,"Module B","42703609"
"104",0.9,0.8,-0.4,-1.6,-0.9,0.6,0.6,"Module B","42703609"
"105",-0.3,-2.5,1,-0.1,-0.5,0.3,0,"Module B","42703609"
"106",-0.2,0,2.1,-0.9,0.7,2,-0.2,"Module B","42703609"
"107",-0.3,0.5,0,1.6,2,0.1,0,"Module B","42703609"
"108",-0.8,0.2,-0.3,0,0.1,0.3,-0.1,"Module B","42703609"
"109",0.1,-0.2,-2.1,-0.2,0.1,-1.3,0,"Module B","42703609"
"110",-0.6,0.5,1,-1.9,-1.1,0.1,0.1,"Module A","42703609"
"111",-0.1,1.6,-1.6,-2.2,-0.8,2.3,0,"Module A","42703609"
"112",-0.2,-0.1,1.4,0.2,-2.4,0.3,-0.1,"Module A","42703609"
"113",-0.3,-0.8,0.7,1.5,-2.1,0.3,0.9,"Module B","432883"
"114",-0.6,1.1,0.4,-0.7,1.3,0.1,0.5,"Module B","432883"
"115",-0.4,-0.6,0.8,0.3,0.8,1.7,0.3,"Module A","432883"
"116",0.1,0,0.3,-0.3,-0.6,0.1,0,"I am not sure","432883"
"117",-0.4,-0.7,-0.6,-0.2,-0.9,0.1,0,"I am not sure","432883"
"118",0.3,0.3,-1,1.2,-1.6,0.4,0,"Module B","4354503"
"119",0.7,0,0.1,-1,-0.4,-0.3,0,"Module B","4354503"
"120",-0.1,0,-0.2,0.2,-0.5,0.1,0.1,"Module B","4354503"
"121",0,0.5,0.3,-0.4,-0.4,-1.5,-0.7,"Module B","4354503"
"122",0.1,-0.2,-1,-0.6,0.4,-0.4,0,"Module A","4354503"
"123",-1,0.9,0.3,-0.6,-0.8,-0.4,1,"Module B","44182311"
"124",0.9,-0.6,0.6,1.3,-0.3,2,0.1,"Module A","44182311"
"125",0.2,0.5,-1.5,0,0.3,-0.5,-0.3,"Module B","44182311"
"126",-0.8,0.3,0.9,-0.6,-0.9,-0.1,0,"I am not sure","44182311"
"127",0.9,2.2,-3.2,0.4,-0.6,0.5,0,"Module B","44182311"
"128",2,-1.5,0,0.5,0.6,0,0.2,"Module A","44851353"
"129",1,0.5,0.3,0.1,0,-0.3,-0.1,"Module A","44851353"
"130",-0.3,-0.2,-0.6,0.5,-0.6,0,0,"I am not sure","44851353"
"131",-1.1,-1.2,1.1,0.2,0,0.9,-0.1,"I am not sure","44851353"
"132",0.1,-0.4,0.9,0.9,-1.4,0.4,0.1,"Module A","44851353"
"133",0.8,1.2,-0.3,-0.8,-1.9,-0.3,-1.2,"Module A","44851353"
"134",0.4,0,0,-0.8,1.4,0.6,-0.1,"Module B","47451078"
"135",-1.7,-1.2,0.6,-1.4,0.5,-0.8,0.1,"Module B","47451078"
"136",-0.7,-0.5,0.2,-1,1.7,-0.8,0,"Module B","47451078"
"137",-0.5,0.7,-0.1,-0.2,0.2,1.6,-1.7,"Module B","47451078"
"138",0.5,-0.5,1.4,0.5,-2.1,-0.3,0,"Module B","47451078"
"139",1.9,-0.1,-0.6,-1.8,0.7,-0.6,-0.3,"Module A","47511958"
"140",-1.1,-0.5,-0.4,0.5,0.9,0.3,0,"Module B","47511958"
"141",-2.8,0.5,0.2,1.2,-0.7,-1.1,0.1,"Module B","47511958"
"142",-0.5,-0.1,-0.6,0.9,0.6,-0.7,0,"Module B","47511958"
"143",-0.1,-1.1,-1.7,-1,1.6,-1.3,0,"Module B","47511958"
"144",0,-0.8,-1.9,0.3,0.3,-0.2,-0.9,"Module B","48557271"
"145",0.3,0,-1.1,2.7,-1.4,-0.1,0,"Module A","48557271"
"146",1.6,0.5,-0.9,0.1,0.5,-1.1,0,"Module B","48557271"
"147",0.2,-1,-0.7,1.1,0.6,0,-0.1,"Module A","48557271"
"148",0.3,0.1,1.2,0.8,0.1,0.9,1.3,"Module A","48557271"
"149",0.1,0.6,-0.7,-0.2,-0.7,0,-0.6,"Module B","49143671"
"150",-0.4,1.7,1.3,0.5,-1.4,-0.8,0.3,"Module B","49143671"
"151",-1,0.1,-1.4,-0.4,1.1,0.1,0.4,"Module A","49143671"
"152",-0.4,-0.1,0.5,-0.2,0.6,-1,0,"Module A","49143671"
"153",-0.5,-0.5,0.1,0.3,-1.3,0.3,-0.1,"Module A","49143671"
"154",-2.5,-0.1,1.8,-0.7,-0.6,0.1,0.3,"Module A","49143671"
"155",-0.7,2.7,-0.3,-0.9,-0.3,-0.2,0.5,"Module A","49143671"
"156",-0.4,-0.3,-1.2,0,-0.9,0,0.1,"Module A","49143671"
"157",0.1,0.3,-0.7,-2,0.1,-0.3,0,"Module A","49143671"
"158",1,-1.5,-0.2,0.6,-2.1,0.2,-1,"Module A","49143671"
"159",0,0.1,0.6,0.8,1,0.7,0.2,"Module A","49143671"
"160",-0.3,1.1,-0.1,0.9,1.8,-0.5,0,"Module A","49143671"
"161",1.3,-0.5,-0.6,0.7,0.3,0.8,1.4,"Module A","49143671"
"162",0.1,-0.7,0.5,-1,0.4,0.5,0,"Module A","49143671"
"163",-0.3,0.7,1,-0.4,-0.7,0,0,"Module A","49143671"
"164",0.6,0.6,-0.7,0,-0.4,-0.4,-0.1,"Module A","49143671"
"165",0.2,-0.1,-0.8,-0.4,1.1,0.3,-0.1,"Module A","51360649"
"166",0.8,0.1,-1.1,-0.3,-1.6,1,0,"Module B","51360649"
"167",0.1,-0.9,0.3,0,-1.6,0.1,-0.3,"Module B","51360649"
"168",2,-0.7,-0.7,0.5,0.4,-1.2,0,"I am not sure","51360649"
"169",-0.8,0.4,0.3,0.8,0.1,0.1,-0.1,"Module A","51360649"
"170",-0.9,0.6,0.2,0.5,-1.2,1,-0.2,"I am not sure","5158317"
"171",-0.8,1,-0.1,1.1,-0.3,0,-0.5,"I am not sure","5158317"
"172",1.3,0,0.6,0.3,-0.5,-1.9,0,"I am not sure","5158317"
"173",-0.2,0.1,0,0.3,-0.8,1,0.2,"I am not sure","5158317"
"174",-0.1,0,-1.4,1.5,0.1,0,-0.1,"I am not sure","5158317"
"175",-0.7,-1.7,-1,0,-2.5,0.5,0.2,"I am not sure","5158317"
"176",0,0,-0.1,-0.9,-3.2,0.2,-0.6,"I am not sure","5158317"
"177",0.8,1,0.7,-0.4,0.3,-1.9,0,"Module A","55273032"
"178",0.8,1.3,0,0.1,2.8,0.4,0.1,"Module A","55273032"
"179",0.9,0.2,0.5,0.5,0,1.7,0,"I am not sure","58108630"
"180",-2,0.1,-0.5,-0.1,-2.1,1.3,0,"I am not sure","58108630"
"181",0.5,0.2,-1.1,-1,2.2,-0.2,-0.1,"Module A","58108630"
"182",0.4,0.7,-2.7,-0.1,1.1,-0.7,0,"Module A","5851228"
"183",-0.8,-0.2,0.4,2,0.9,-0.7,-0.1,"Module B","5851228"
"184",-1.9,-0.8,1.8,1.4,-0.7,0.1,-0.1,"Module B","5851228"
"185",1.3,-1.3,-0.9,-0.4,1.1,0,0,"Module B","5851228"
"186",-1,1.2,1.4,-0.3,-1.2,-0.6,0,"Module B","5851228"
"187",-0.5,1.3,1.3,-1.7,0.8,0.5,0.1,"Module B","5851228"
"188",-0.2,-0.5,1.4,-0.1,-1.6,-1.2,0,"Module B","5851228"
"189",0.4,-0.4,-0.5,0.1,0.7,0.8,0,"I am not sure","58790488"
"190",-1.6,-1.9,-1.3,1.6,-0.4,0.7,-0.1,"I am not sure","58790488"
"191",0.7,0,0.3,0.2,-0.5,-0.1,0.4,"I am not sure","58790488"
"192",1.1,0,0.4,0.6,-2.7,-0.4,0,"I am not sure","58790488"
"193",2,-2,-0.8,1.6,0.5,0.2,0.3,"I am not sure","58790488"
"194",-0.3,-1.3,0.7,0.1,0.5,-0.8,0,"I am not sure","58790488"
"195",0,0.2,-2.5,-1.5,-0.6,0.2,0,"I am not sure","58790488"
"196",-0.9,0.8,0.2,-1.6,1.6,-0.1,0,"I am not sure","58790488"
"197",-0.2,0,-0.1,1.9,-0.3,0,0,"I am not sure","58790488"
"198",-0.4,0.5,0.9,0.6,-0.4,-1,0,"I am not sure","58790488"
"199",-0.4,-0.7,-0.4,-0.3,-0.2,0.4,-1,"I am not sure","58790488"
"200",-1.8,-0.8,0.6,-0.2,0.1,2.1,0,"I am not sure","58790488"
"201",0.1,0.6,-0.4,-1.2,-0.3,-0.2,0,"I am not sure","58790488"
"202",-0.9,-2.1,1.4,-0.1,-2.2,-0.2,-1.1,"I am not sure","58790488"
"203",-1.2,0.1,0,0.3,-0.3,1.1,-0.1,"I am not sure","58790488"
"204",1.2,0.3,1.7,-0.4,1.2,-0.6,0,"I am not sure","58790488"
"205",0.4,-1.5,0,1.8,-2,-0.4,0,"Module B","63046158"
"206",-0.2,1.2,-0.1,-0.1,-0.8,0.5,-0.2,"Module B","63046158"
"207",0.2,0.3,-2.2,-0.3,1,0,0,"Module A","63046158"
"208",2.1,1.5,2.5,0,1,-0.1,0,"Module A","63046158"
"209",-0.4,-1.2,-1.7,0.9,0.3,0.1,0,"Module A","63046158"
"210",-0.6,-0.1,0.7,0.7,0,0.8,-0.1,"Module B","63314151"
"211",0.8,0.2,-0.1,0.6,0.1,-0.1,0.1,"Module B","63314151"
"212",-0.2,-0.7,-0.2,-0.4,0.3,0.4,0,"Module B","63314151"
"213",2.7,0.2,-0.5,-0.1,0.6,0,0,"Module A","63660471"
"214",0.3,-1.1,0.3,0.6,1.4,-0.9,0,"Module B","63660471"
"215",-0.2,1.2,0,-0.4,-0.2,-1.6,0.1,"Module A","63660471"
"216",1,0.1,1.3,0.4,-1.2,-2,0,"Module A","63660471"
"217",-0.4,0,-1.2,0.2,-0.5,-0.6,-0.2,"Module B","63660471"
"218",-0.3,-0.7,-0.5,0.5,-1.6,-0.7,0,"Module B","6651633"
"219",-0.3,-0.3,0,-0.7,2,-0.1,0,"Module A","6651633"
"220",-0.1,1.1,2.2,-1.6,0.5,-1.7,0,"Module B","6651633"
"221",-0.4,0.6,1.1,0.2,-0.9,-0.1,0,"Module A","6651633"
"222",1.6,-1,-0.2,0.1,1.8,0.4,0,"Module A","6651633"
"223",0.2,-0.1,-1.3,1.1,-0.1,0,0.6,"Module B","67888868"
"224",-2.2,0.8,0.4,-0.9,0.3,-1.4,0,"Module B","67888868"
"225",-0.4,0,0.1,0.2,-0.5,-0.4,-0.6,"Module B","67888868"
"226",1.3,0.3,-0.8,-0.5,-0.4,-0.3,0,"Module A","67888868"
"227",-1.7,1.7,1.4,0.3,-0.8,-0.3,0,"Module B","67888868"
"228",0.2,0.5,-0.9,0,-1.4,-0.4,-0.4,"I am not sure","70409911"
"229",0.1,1.5,0.9,-0.4,-1.2,0.4,0,"I am not sure","70409911"
"230",0.4,0,-1.3,1,1.5,0.6,0,"I am not sure","70409911"
"231",0.4,-0.1,-0.7,-0.9,2.5,1.5,-0.1,"I am not sure","70409911"
"232",-2.5,-0.3,-1.6,-0.2,0.3,0.9,2.1,"I am not sure","70409911"
"233",0,-1.8,-0.1,2.5,0.6,0.9,0,"I am not sure","70409911"
"234",-1.2,0.2,0,0.1,1.3,0.2,0.5,"I am not sure","70409911"
"235",-1.7,-0.6,0.1,-0.3,0.2,0.5,0.1,"Module A","70409911"
"236",1.8,-0.4,1.3,-0.4,1.3,-1,0,"I am not sure","70409911"
"237",-1,0,0.1,-1.1,-0.3,-1.2,-0.7,"I am not sure","70409911"
"238",3,0.6,0.3,0.5,-1.7,0,-0.4,"I am not sure","70409911"
"239",0.9,-1.2,0.7,0.8,1.1,0,0,"I am not sure","70409911"
"240",0.5,-1.7,0,0.4,-0.7,0.2,-0.2,"Module A","70592920"
"241",-1.3,0.5,1.6,0.3,-0.2,-0.1,0.5,"Module B","70592920"
"242",0,-0.5,0,-0.3,0.8,0,0.6,"Module A","70592920"
"243",-0.3,0.4,-0.5,-1.1,0.3,0.3,0.1,"I am not sure","72529955"
"244",0,0.3,0.2,-0.4,-0.3,0,-0.7,"I am not sure","72529955"
"245",-0.3,1,1.1,0.4,0.2,0.1,-0.2,"I am not sure","72529955"
"246",0.4,-0.4,1.2,1.3,0.1,0.4,0,"Module A","72529955"
"247",-0.8,0.5,-0.2,-0.4,-1.2,0.1,1.6,"Module B","72529955"
"248",0.4,-0.8,-0.6,-0.2,0,1.4,0,"Module B","75091154"
"249",1.6,-1.8,-0.1,0,-0.5,-1.3,0,"Module B","75091154"
"250",-0.4,-0.6,0,-0.4,-0.4,0.2,0.5,"Module B","75091154"
"251",-0.4,0.3,-1,0.1,-2.7,0,0.2,"Module B","75091154"
"252",-0.3,-0.9,0.1,-1.5,0.5,-0.8,-0.5,"Module B","75091154"
"253",0,-0.5,-0.7,-1.5,0.1,0,0.3,"Module B","80449302"
"254",2.5,0.8,0.6,-0.6,0.1,0.9,0.4,"Module A","80449302"
"255",1.1,-0.6,-1.3,-0.7,1.2,0,0.1,"Module B","80449302"
"256",-1.4,-0.8,0,-0.1,-1.4,-0.8,-0.5,"Module B","80449302"
"257",0.7,0.4,2.7,0.8,0.2,2.1,0,"Module A","80449302"
"258",0.8,0.8,-0.5,-0.9,1.2,0.9,1.9,"Module A","81151939"
"259",-0.2,-1,0.3,-0.4,-0.8,1.1,-0.4,"Module B","81151939"
"260",0.4,-0.7,-1.1,0.1,0.9,0,0.2,"Module B","81151939"
"261",0.1,-0.4,-0.9,0.9,-0.9,-0.7,0.1,"Module B","81151939"
"262",-0.6,0.7,-0.9,1.9,-0.2,-0.5,0.5,"Module A","81151939"
"263",-1.2,0,1.8,0.2,0.4,-0.5,-0.1,"Module A","8403251"
"264",-0.1,-1.8,0.5,-0.1,1.1,0.4,0,"Module B","8403251"
"265",-0.9,-0.9,-1.4,1.3,-0.1,0.4,0,"Module B","8403251"
"266",-1.5,-1,-0.3,-1.2,-1.1,0.5,0,"Module B","8403251"
"267",0.1,0.9,-0.4,-0.6,1.1,0.4,0,"Module A","8403251"
"268",-0.5,-0.4,1.3,-0.1,-0.9,-0.3,-0.1,"Module B","84978649"
"269",0.2,0.9,0.4,-0.6,0.8,-0.9,-0.1,"Module A","84978649"
"270",-1.2,-0.8,-0.1,-1.4,-0.2,-0.7,0,"Module B","84978649"
"271",-0.2,0.4,0.3,0.6,-1.4,-1.8,0.1,"Module B","84978649"
"272",-1.2,1.8,-0.2,0.2,-0.3,0.4,0,"Module A","84978649"
"273",-1.6,1.2,-0.4,0.7,-1.2,0.5,0,"Module A","85235876"
"274",0.1,1,0.2,-0.3,-0.5,-0.2,0,"Module A","85235876"
"275",1.1,-1,1.4,-0.5,0.1,-0.2,0,"Module A","85235876"
"276",-0.1,2.1,-0.1,0.1,0.3,0.8,0,"Module A","85235876"
"277",0,1.2,0.4,-0.2,-2.1,1.3,0,"I am not sure","85235876"
"278",-1.5,0.7,-0.3,0.7,0.2,0.2,-0.4,"I am not sure","85235876"
"279",-0.9,0.1,-1.3,1.8,0.4,-0.2,0,"I am not sure","85235876"
"280",-0.2,1.7,1.1,-0.4,-1.1,-0.1,-0.2,"I am not sure","85235876"
"281",-2.2,1,2.2,-0.2,0.4,-0.5,0,"Module A","85235876"
"282",0.6,0.7,-0.7,-0.5,-0.2,-0.8,0,"Module B","85736197"
"283",-0.9,1.3,0.2,0.1,0,-0.2,0,"Module A","85736197"
"284",-1.3,0.6,-0.2,0.1,-1.2,0.3,0,"Module B","85736197"
"285",-1.1,-0.2,-0.9,0.4,-1.6,0.6,0.3,"Module B","85736197"
"286",-1.9,0.2,2,-0.8,1.3,0,0.3,"Module A","85736197"
"287",-0.7,2.1,-0.1,-0.1,0.5,0.1,0,"Module A","87993434"
"288",0.2,-1.4,0.5,-1.7,0.8,-0.1,-0.2,"Module B","87993434"
"289",0.6,-0.4,-0.9,0,1.4,-1,-0.6,"Module B","87993434"
"290",1.9,-0.1,0.3,0,-0.9,0.8,0,"Module A","87993434"
"291",0,-0.1,-1.6,-0.5,0.5,0.2,0,"Module A","87993434"
"292",-1.7,0.6,2.3,-1.9,-0.2,0.7,-0.3,"Module A","87993434"
"293",-0.2,-1.1,-1.1,-1,0.5,0.3,0,"Module A","87993434"
"294",0.6,0.1,-0.5,-0.9,-1.4,0.2,0,"Module A","87993434"
"295",0.7,-0.5,-0.4,0.2,-0.8,0.2,0.3,"Module B","92034566"
"296",-0.2,-0.2,2.2,0.5,0.9,0.3,0,"Module A","92034566"
"297",0.4,1.3,-0.3,-0.1,0.1,-0.6,0,"Module A","92034566"
"298",0.5,0.9,-1,0.5,0.8,0,-0.2,"Module A","92034566"
"299",-1.2,-0.2,0.7,0.5,-0.1,0.3,0.3,"Module B","92034566"
"300",0.9,-0.9,0.6,0.5,1,-0.1,0,"Module B","93482794"
"301",1.7,-1.3,0.7,1.7,0.1,0.8,0,"Module A","93482794"
"302",-1,0,-0.4,-1.1,0.3,-0.2,-1.2,"Module A","93482794"
"303",0.1,0.3,1.3,0,0.9,-0.5,0,"Module A","93482794"
"304",-0.2,-0.7,-0.2,-0.7,0.1,0.3,0,"Module B","93482794"
"305",-0.7,1.3,1,0.8,1.6,-0.2,0,"Module A","93595041"
"306",0.2,0.4,0.2,-0.4,-1.8,-0.1,0,"Module B","93595041"
"307",2.2,-0.8,0.3,-2,1.2,-0.5,0,"Module B","93595041"
"308",0.9,0.5,1.9,-0.2,-0.3,0,-0.1,"Module B","93595041"
"309",-0.3,-0.2,-1,1.1,0.7,0,0.1,"Module B","93595041"
"310",0.4,0.2,1.2,1.3,-2.1,0.7,0.1,"Module B","93595041"
"311",-1.4,-1.3,1,-0.2,-1.9,-0.4,0,"Module B","93595041"
"312",0.3,-1,0.1,2.4,1.5,-0.4,0.2,"Module B","93595041"
"313",-1,2.3,1.1,1.7,-1,0.4,0,"Module A","94430627"
"314",1.1,-0.9,2.1,0.6,0.1,-0.1,-0.3,"Module A","94430627"
"315",-0.9,-0.1,-1.5,0.3,-0.9,0.3,0.9,"Module B","94430627"
"316",0.3,-0.3,0.5,-0.4,-1,-0.1,0,"Module A","94430627"
"317",0.2,0.8,1,-1.1,-0.7,0.2,0,"Module A","94430627"
"318",0.5,0.5,-1.3,0.1,2.3,-0.3,0,"Module B","957372"
"319",-1.4,1.4,1.2,0.4,-0.1,0.2,0.1,"Module B","957372"
"320",-0.9,1.2,-1.2,0,1.2,0.7,0.2,"Module B","957372"
"321",-1.4,-0.7,-0.4,1.1,1.5,0.1,0.4,"Module A","957372"
"322",0.4,0,-0.1,0.6,-0.3,-0.3,0.2,"Module A","957372"
"323",-0.3,0.1,0.4,-0.7,0.5,1.5,0.6,"Module A","97753354"
"324",0,-0.4,0.6,1.4,1.3,-0.6,-0.6,"Module A","97753354"
"325",0.8,1.9,-0.9,-0.8,-0.1,-0.3,0.6,"Module A","97753354"
"326",1.1,-0.6,-0.2,1.1,0.3,-0.2,0,"Module A","97753354"
"327",0.8,0.3,-1.5,0.2,0.3,-0.9,0,"Module B","97753354"
