"age","gender","education","income"
30,"Male",16,42.69230652
30,"Female",18,28.02197838
29,"Male",13,16.82692337
30,"Female",18,15.16272163
30,"Female",13,10.57692337
30,"Male",12,14.42307663
29,"Female",12,6.161538601
30,"Female",16,19.7435894
30,"Male",16,14.42307663
29,"Male",12,24.03846169
30,"Male",10,14.9572649
29,"Female",16,28.84615326
29,"Female",12,9.449500084
30,"Male",18,14.10624981
30,"Female",14,31.25
30,"Female",12,15.94129562
30,"Male",13,17.84615326
30,"Male",12,15.8740387
29,"Male",16,33.84615326
30,"Female",16,14.42307663
29,"Male",16,53.88028717
30,"Male",16,24.51922989
29,"Female",18,16.93121719
29,"Female",18,25.625
30,"Female",18,24.03846169
30,"Female",16,21.63461494
29,"Female",13,19.23077011
29,"Male",12,18.26922989
30,"Female",16,15.38461494
29,"Male",9,13
29,"Female",18,24.03942299
29,"Male",12,11.53846169
29,"Female",16,12.01923084
30,"Female",13,14.42307663
30,"Female",14,11.53846169
29,"Male",12,18.75
29,"Male",18,20.67307663
29,"Male",12,12.5
29,"Male",16,25
30,"Male",12,22.11538506
29,"Male",16,28.84615326
30,"Female",18,23.07692337
30,"Female",16,10.09615421
29,"Female",16,14.23076916
29,"Female",16,28.84615326
30,"Female",14,11.05769253
29,"Male",13,40.86538315
30,"Female",16,29.32692337
30,"Male",12,13.46153831
30,"Male",12,12.5
30,"Male",10,13.14423084
29,"Female",16,24.03846169
29,"Male",12,14.90336514
30,"Male",14,11.77884579
30,"Female",12,14.42307663
29,"Female",14,11.21794891
30,"Female",16,13.46153831
29,"Male",16,30.76922989
29,"Female",14,21.09182739
30,"Female",18,21.97802162
30,"Male",12,15.86538506
30,"Female",13,13.35470104
29,"Male",12,19.23077011
29,"Female",12,14.90384579
30,"Female",16,24.03846169
30,"Male",13,21.63461494
29,"Male",16,38.46154022
30,"Female",13,13.89423084
30,"Female",12,12.02019215
30,"Male",12,9.615385056
30,"Female",12,16.92708397
30,"Male",12,24.03846169
30,"Female",14,18.50961494
29,"Male",13,21.97802162
29,"Male",16,31.25
29,"Male",16,16.36538506
29,"Male",13,15.38461494
29,"Female",16,29.80769157
29,"Male",18,17.83286667
30,"Male",14,24.51922989
30,"Female",18,17.16346169
29,"Male",16,24.51922989
29,"Female",18,7.692307472
29,"Female",16,25.48077011
30,"Male",14,16.70040512
29,"Female",13,14.42307663
30,"Male",13,11.05769253
29,"Male",13,5.769230843
30,"Male",12,16.73077011
29,"Female",12,8.974358559
29,"Male",13,40.86538315
30,"Male",12,23.07692337
29,"Male",14,14.9572649
29,"Male",10,14.42307663
30,"Male",13,6.592788696
29,"Male",12,11.53846169
30,"Female",16,19.87179565
30,"Male",18,34.85577011
29,"Male",16,31.62447548
30,"Female",16,19.23077011
30,"Female",13,13.94230747
30,"Male",13,30.76922989
30,"Female",14,31.25
30,"Female",12,8.653845787
29,"Female",12,18.70748329
30,"Male",10,20.38461494
29,"Male",13,18.07692337
29,"Female",14,29.38034248
30,"Male",13,10.22222233
30,"Male",12,14.70588207
29,"Male",16,7.5
30,"Male",16,22.1149044
30,"Male",13,16.34615326
30,"Female",13,18.75
29,"Female",16,16.82692337
30,"Male",14,32.69230652
30,"Female",12,20.79001999
30,"Male",18,49.49327087
30,"Male",13,11.05769253
30,"Female",14,15.30612278
29,"Male",12,17.30769157
29,"Female",14,8.547008514
29,"Male",18,20.16129112
30,"Male",12,14.90384579
29,"Male",12,14.68531513
29,"Male",13,16.82692337
29,"Male",13,14.42307663
30,"Female",18,8.413461685
29,"Female",12,8.653845787
29,"Female",12,21.36752129
29,"Male",13,23.95833397
30,"Female",12,9.615385056
30,"Male",16,20.19230843
30,"Male",12,16.02564049
29,"Male",12,5
30,"Female",13,12.01923084
30,"Male",12,17.09401703
30,"Female",16,14.17004013
29,"Female",18,18.7509613
30,"Male",16,31.25
30,"Male",12,15.76923084
29,"Female",12,7.142857075
29,"Male",12,21.63461494
30,"Female",13,13.46153831
30,"Female",14,25.21367455
29,"Male",14,11.46153831
30,"Female",8,12.01923084
29,"Female",13,13
30,"Female",14,14.9572649
30,"Male",13,24.03846169
29,"Female",14,32.47863388
30,"Female",13,13.22115421
30,"Female",13,8.791209221
29,"Female",13,11.77884579
29,"Male",13,41.3943367
29,"Female",12,6.730769157
30,"Male",13,18.40659332
29,"Female",13,8.603239059
29,"Male",13,12.98076916
29,"Female",16,4.945055008
30,"Male",11,6.25
29,"Male",13,25
30,"Female",13,7.692307472
30,"Male",13,10.44978619
30,"Female",16,13.46153831
30,"Male",13,33.17307663
29,"Male",18,10.41666698
30,"Female",12,11.29807663
29,"Female",16,12.5
29,"Male",18,4.166666508
29,"Male",14,6.677350521
29,"Female",12,9.615385056
30,"Female",16,33.21678162
29,"Male",12,9.15750885
30,"Male",10,17.78846169
29,"Male",16,18.26922989
29,"Male",14,15.38461494
29,"Male",12,34.61538315
29,"Female",13,12.98076916
29,"Female",13,16.69281387
29,"Female",16,26.44230843
29,"Male",12,12.01923084
30,"Female",16,34.61538315
30,"Male",9,4.615384579
30,"Female",12,8.653845787
29,"Female",16,14.42307663
30,"Male",18,40
29,"Female",16,34.69387817
30,"Female",18,14.39102554
30,"Female",14,10.57692337
29,"Male",11,12.01923084
30,"Female",18,16.82788467
30,"Male",14,26.44230843
29,"Female",16,24.61538506
29,"Male",14,13.46153831
29,"Male",18,32.69230652
29,"Female",16,37.09999847
29,"Male",13,25.96153831
30,"Female",16,42.30769348
30,"Male",16,34.18803406
29,"Female",13,9.134614944
30,"Male",13,16.65144157
29,"Female",16,21.63461494
29,"Male",18,22.43589783
30,"Male",16,22.11538506
29,"Female",11,4.807692528
29,"Female",14,16.48351669
30,"Male",12,24.03846169
30,"Male",11,14.42307663
30,"Female",16,40.86538315
30,"Male",18,53.36538315
30,"Female",18,43.26922989
29,"Female",16,39.42307663
30,"Female",14,31.25
29,"Male",13,13.46153831
30,"Female",18,33.65384674
29,"Female",16,19.23077011
29,"Male",16,36.05769348
30,"Female",14,17.69230843
30,"Male",13,24.03846169
29,"Male",14,34.61538315
30,"Female",16,14.67611313
29,"Male",13,4.807692528
30,"Female",13,16.02564049
29,"Male",12,10.09615421
29,"Male",16,21.6857605
30,"Male",12,19.23077011
30,"Male",14,25.96153831
29,"Male",18,14.42307663
29,"Female",12,4.807692528
30,"Male",12,12.01923084
30,"Male",12,17.30769157
29,"Male",13,16.66666603
29,"Female",12,9.890110016
30,"Female",16,12.98076916
30,"Female",12,27.88461494
29,"Male",14,21.63461494
29,"Female",12,16.82692337
30,"Male",12,18
30,"Male",14,16.82692337
29,"Male",13,18.21862411
29,"Male",18,33.65384674
29,"Male",12,12.01923084
29,"Female",18,29.32692337
30,"Female",16,44.59134674
30,"Male",13,15.625
29,"Male",12,17.1428566
30,"Male",12,12.14574909
30,"Male",16,17.98077011
30,"Male",13,26.92307663
29,"Female",13,24.03846169
29,"Male",6,8.97959137
29,"Female",13,23.07692337
30,"Female",14,16.34615326
30,"Male",13,14.52991486
30,"Female",14,9.615385056
30,"Female",18,21.63461494
29,"Male",18,45.67307663
30,"Female",12,9.567307472
29,"Female",18,38.46154022
30,"Male",16,38.46154022
29,"Female",12,18.75
30,"Female",9,8.375
30,"Male",18,33.65384674
29,"Female",16,19.23077011
29,"Male",12,14.9572649
30,"Male",12,7.211538315
30,"Female",12,7.692307472
30,"Male",16,21.63461494
30,"Male",14,24.03846169
29,"Male",14,13.19999981
30,"Female",14,7.142857075
30,"Male",13,24.78632545
29,"Male",16,25.10683823
30,"Male",16,26.62721825
29,"Male",16,34.61538315
29,"Female",14,23.07692337
29,"Male",14,16.73077011
30,"Male",13,12.01923084
30,"Male",13,37.5
30,"Male",16,16.02564049
29,"Female",14,14.28571415
29,"Male",18,45.1663475
30,"Male",9,12.5
30,"Female",18,18.26922989
30,"Female",16,12.98076916
29,"Male",16,33.17307663
30,"Male",12,16.82692337
30,"Male",12,35.25640869
30,"Male",16,28.84615326
30,"Female",12,13.46153831
30,"Female",16,33.65384674
30,"Female",12,7.47863245
29,"Male",12,11.77083302
29,"Female",12,12.01923084
29,"Female",14,11.60000038
29,"Female",12,11.53846169
29,"Female",16,20.19230843
30,"Female",13,31.53846169
30,"Male",14,35.33961487
30,"Male",12,19.23077011
29,"Male",16,28.84615326
30,"Male",12,16.82692337
30,"Male",12,26.49572563
30,"Male",16,17.52136803
30,"Male",13,10.57692337
29,"Female",12,12.01923084
29,"Male",13,14.31623936
29,"Female",13,5.711538315
30,"Male",13,18.02884674
30,"Male",12,13.98601437
30,"Male",12,8.760684013
29,"Male",16,15.38461494
30,"Female",16,14.52991486
30,"Male",10,10.2136755
29,"Male",12,13.22115421
30,"Female",18,19.23077011
29,"Male",14,21.75
30,"Female",13,14.42307663
30,"Male",16,16.02564049
30,"Male",16,23.07692337
30,"Male",12,35.04273605
29,"Male",13,26.16645622
29,"Female",13,18.07692337
30,"Male",12,7.371794701
29,"Female",6,6.656804562
29,"Male",12,4.567307472
29,"Male",18,23.50427437
29,"Male",13,25.64102554
30,"Female",13,11.96581173
30,"Male",16,13.46153831
29,"Female",16,15
29,"Female",18,32.69230652
30,"Male",13,7.692307472
29,"Male",12,15.625
29,"Male",16,26.44230843
29,"Male",12,26.22377586
29,"Male",16,14.61538506
29,"Male",13,15.38461494
29,"Male",12,14.42307663
29,"Female",13,10.25961494
29,"Male",13,16.34615326
30,"Male",12,34.96503448
30,"Male",13,8.012820244
30,"Female",14,6.490384579
30,"Female",14,5.876068592
30,"Female",13,7.179487228
30,"Female",16,22.22222137
29,"Male",13,14.42307663
30,"Female",12,2.747252703
29,"Female",11,14.42307663
29,"Female",14,13.46153831
29,"Male",12,21.15384674
30,"Female",12,8.241758347
29,"Male",12,17.09401703
29,"Male",12,11.53942299
30,"Female",13,7.692307472
30,"Male",16,19.96318626
29,"Female",12,6.609230995
29,"Female",14,8.741258621
30,"Female",16,18.80341911
30,"Female",18,18.75
30,"Male",16,20.38461494
30,"Male",16,6.372549057
30,"Female",16,9.615385056
30,"Male",13,21.63461494
30,"Male",13,28.36538506
29,"Female",14,16.34615326
30,"Male",12,25.48077011
30,"Male",16,52.88461685
30,"Female",16,17.30769157
29,"Female",10,9.890110016
30,"Female",12,4.807692528
30,"Female",16,7.211538315
29,"Female",16,16.19230843
30,"Male",16,26.44230843
29,"Female",18,40.21977997
30,"Male",16,9.615385056
29,"Male",18,27.88461494
29,"Female",12,6.538461685
29,"Male",12,13.98601437
29,"Female",12,18.26922989
30,"Male",16,12.02019215
29,"Female",12,8.25
30,"Male",13,14.42307663
29,"Female",12,9.807692528
29,"Male",18,19.23077011
30,"Female",18,7.692307472
30,"Female",14,23.55769157
30,"Male",16,40.86538315
29,"Female",12,15
29,"Female",16,23.07692337
30,"Male",16,16.02564049
30,"Female",13,13.94230747
29,"Male",14,4.807692528
30,"Male",12,13.73626328
30,"Male",16,7.692307472
29,"Female",12,16.82692337
29,"Female",14,14.42307663
29,"Male",16,19.23077011
29,"Female",18,25
30,"Male",14,41.53845978
30,"Female",18,26.15384674
30,"Female",16,17.30769157
30,"Female",16,21.2550602
29,"Male",16,44.23077011
29,"Male",13,13.46153831
30,"Female",16,25
30,"Male",16,40.86538315
29,"Male",16,19.23077011
29,"Female",12,14.42307663
30,"Male",12,18.26922989
29,"Female",16,19.23077011
30,"Male",14,27.5
29,"Male",13,16.82692337
30,"Male",12,2.292647123
30,"Male",14,28.84615326
30,"Female",14,19.23077011
29,"Male",12,14.42307663
29,"Male",12,13.07692337
30,"Male",12,11.05769253
29,"Male",12,15.86538506
29,"Female",12,8.17307663
30,"Female",14,24.03846169
30,"Male",16,33.90673065
30,"Male",16,34.18803406
29,"Female",16,43.26922989
29,"Female",13,9.615385056
30,"Male",16,42.30769348
30,"Female",18,28.84615326
30,"Female",14,13.46153831
29,"Female",12,13.46153831
29,"Female",13,11.53846169
29,"Male",13,20.0854702
30,"Female",13,19.23077011
29,"Male",16,18.86094666
30,"Female",12,14.42307663
30,"Female",13,18.73767281
30,"Male",18,4.273504257
30,"Female",18,35.57692337
30,"Female",13,10.81730747
29,"Female",16,27.42307663
30,"Male",16,19.85577011
29,"Female",12,12.98076916
30,"Male",8,13.2867136
30,"Female",18,26.92307663
30,"Male",6,9.5
29,"Female",16,11.53846169
30,"Male",14,34.13461685
30,"Male",14,14.61538506
30,"Female",12,12.01923084
30,"Female",12,25
29,"Male",16,12.77923107
30,"Female",16,17.78846169
29,"Male",12,12.01923084
30,"Male",14,9.710577011
29,"Female",16,26.44230843
29,"Male",12,31.73077011
30,"Female",13,10.09615421
30,"Female",16,11.92307663
30,"Male",16,25
30,"Male",14,19.23077011
29,"Male",12,21.15384674
30,"Male",16,22.11538506
30,"Male",13,18.50961494
29,"Male",12,15.38461494
30,"Male",10,9.134614944
29,"Female",14,16.82692337
29,"Male",14,19.23077011
30,"Female",16,12.01923084
29,"Female",16,21.15480804
30,"Male",12,12.47401237
29,"Female",12,12.69791698
29,"Female",12,10.98901081
30,"Female",16,13.46153831
29,"Female",13,9.615385056
29,"Male",12,17.30769157
30,"Male",13,7.211538315
30,"Female",16,14.42307663
30,"Male",16,6.610577106
29,"Female",14,13.94230747
29,"Male",12,13.94230747
29,"Female",13,17.06730843
30,"Male",11,15.38461494
30,"Male",12,7.692307472
30,"Female",12,5.769230843
29,"Female",13,17.30769157
30,"Female",12,7.5
30,"Male",12,12.01923084
30,"Female",14,21.63461494
30,"Female",12,6.490384579
30,"Female",16,22.83653831
29,"Female",16,8.653845787
29,"Male",13,8.846154213
30,"Male",16,25
30,"Female",18,41.04395676
30,"Male",16,9.41915226
29,"Male",16,8.413461685
30,"Male",18,3.205128193
30,"Female",18,18.26922989
29,"Male",12,28.84615326
29,"Male",11,15.86538506
29,"Female",12,14.42307663
29,"Male",12,20.83333397
30,"Female",12,6.25
30,"Female",14,14.42307663
29,"Female",13,9.615385056
29,"Female",18,17.78846169
29,"Female",16,20.19230843
29,"Male",13,15.38461494
30,"Female",18,20.5128212
30,"Male",16,29.12087822
29,"Male",12,19.23077011
29,"Male",12,19.23077011
29,"Female",14,17.54807663
30,"Male",12,9
30,"Male",18,17.30769157
30,"Male",16,18.79370689
30,"Male",12,21.49038506
29,"Female",12,11.53846169
30,"Male",16,27.88461494
30,"Female",12,21.63461494
29,"Female",13,13.46153831
30,"Female",16,11.53846169
30,"Male",16,17
29,"Female",16,20
29,"Female",13,22.59615326
30,"Female",13,8.17307663
30,"Female",12,9.615385056
30,"Female",16,19.23077011
30,"Female",12,14.42307663
30,"Male",16,23.66863823
29,"Female",13,17.30769157
29,"Male",16,24.03846169
29,"Male",12,11.53846169
30,"Male",16,24.03846169
30,"Female",18,15.38461494
29,"Female",14,13.94230747
29,"Male",16,35.41827011
29,"Male",16,24.03846169
30,"Male",13,19.23077011
29,"Male",14,26.44230843
30,"Female",13,14.42307663
30,"Female",12,7.417582512
29,"Male",13,17.30769157
29,"Female",13,12.14574909
29,"Female",13,6.410256386
30,"Female",13,17.74038506
30,"Female",16,12.01923084
29,"Male",12,9.615385056
30,"Male",16,10.89743614
29,"Male",13,20
30,"Female",16,13.75
30,"Male",16,15
30,"Female",13,12.5
29,"Female",13,6
30,"Male",13,11.53846169
30,"Male",12,16.45299149
30,"Female",16,13.73626328
30,"Male",14,10.57692337
30,"Female",18,17.52136803
29,"Male",13,15.38461494
30,"Female",16,16.34615326
