state,county,community,communityname,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed
6,NA,NA,Modestocity,1,0.25,0.54,0.05,0.71,0.48,0.3,0.42,0.48,0.28,0.32,0.26,1,0.33,0.55,0.37,0.37,0.39,0.64,0.44,0.32,0.29,0.32,0.23,0.17,0.17,0.24,0.3,0.19,0.34,0.34,0.43,0.24,0.59
12,31,NA,Jacksonvillecity,1,1,0.42,0.47,0.59,0.12,0.05,0.41,0.53,0.34,0.33,1,0.99,0.28,0.62,0.16,0.36,0.4,0.3,0.45,0.29,0.3,0.35,0.21,0.2,0.33,0.28,0.4,0.76,0.33,0.25,0.39,0.28,0.3
41,NA,NA,KlamathFallscity,1,0.01,0.34,0.02,0.87,0.07,0.11,0.49,0.56,0.43,0.47,0,0,0.13,0.4,0.26,0.42,0.52,0.41,0.41,0.17,0.2,0.2,0.13,0.08,0.18,0.17,0.19,0.03,0.58,0.31,0.42,0.24,0.63
19,193,93926,SiouxCitycity,1,0.11,0.43,0.04,0.89,0.09,0.06,0.45,0.48,0.31,0.46,0.13,1,0.22,0.52,0.44,0.49,0.56,0.41,0.39,0.25,0.25,0.25,0.16,0.07,0.2,0.19,0.22,0.1,0.36,0.29,0.37,0.27,0.33
6,NA,NA,Delanocity,1,0.02,0.96,0.05,0,1,1,0.54,0.58,0.39,0.33,0,0,0.16,0.61,0.41,0.14,0.49,0.92,0.28,0.12,0.08,0.2,0.14,0.11,0.17,0.18,0.21,0.05,0.63,1,1,0.1,1
8,NA,NA,Goldencity,1,0,0.33,0.02,0.91,0.16,0.09,0.55,0.63,0.53,0.31,0.02,1,0.29,0.64,0.6,0.57,0.3,0.15,0.41,0.32,0.34,0.34,0.27,0.15,0.15,0.3,0.35,0.01,0.3,0.11,0.18,0.54,0.3
6,NA,NA,Gardenacity,1,0.06,0.49,0.46,0,1,0.43,0.35,0.5,0.32,0.34,0.08,1,0.35,0.68,0.16,0.36,0.36,0.38,0.34,0.34,0.32,0.32,0.38,0.17,0.37,0.28,0.33,0.04,0.25,0.35,0.46,0.25,0.35
39,29,61798,Perrytownship,1,0.01,0.37,0.01,0.99,0.02,0.01,0.35,0.38,0.23,0.59,0,0,0.23,0.38,0.39,0.51,0.64,0.35,0.63,0.24,0.23,0.22,0.23,0.25,0.48,0.2,0.51,0.02,0.32,0.3,0.45,0.16,0.34
54,NA,NA,Beckleycity,1,0.01,0.27,0.43,0.64,0.08,0.01,0.36,0.33,0.22,0.74,0,0,0.12,0.1,0.11,0.39,0.84,0.48,0.82,0.21,0.25,0.27,0.16,0.28,1,0,0.86,0.03,0.57,0.46,0.49,0.3,0.54
9,7,22490,EastHamptontown,1,0,0.5,0.01,0.98,0.02,0.02,0.31,0.4,0.23,0.25,0,0,0.6,0.83,0.25,0.63,0.26,0.12,0.31,0.58,0.48,0.46,0.41,0.08,0.39,0.38,0.41,0,0.01,0.18,0.27,0.44,0.22
1,NA,NA,Cullmancity,1,0.01,0.3,0,0.99,0.02,0.01,0.38,0.37,0.27,0.74,0,0,0.16,0.24,0.24,0.41,0.73,0.53,0.49,0.21,0.25,0.24,0,0.12,0.29,0,0.04,0.02,0.45,0.62,0.61,0.26,0.24
19,NA,NA,DesMoinescity,1,0.29,0.34,0.14,0.84,0.14,0.04,0.4,0.52,0.35,0.42,0.31,1,0.25,0.57,0.32,0.47,0.49,0.34,0.47,0.28,0.29,0.3,0.22,0.15,0.16,0.29,0.31,0.22,0.33,0.19,0.31,0.29,0.28
1,NA,NA,Auburncity,1,0.04,0.37,0.32,0.7,0.21,0.02,1,1,1,0.14,0.05,1,0.02,0.77,0.57,0.47,0.13,0.11,0.16,0.32,0.17,0.19,0.16,0.07,0.21,0.14,0.22,0.11,1,0.18,0.18,0.82,0.42
51,680,47672,Lynchburgcity,1,0.09,0.43,0.51,0.58,0.04,0.01,0.58,0.56,0.5,0.52,0.1,1,0.2,0.42,0.21,0.44,0.65,0.36,0.52,0.24,0.26,0.31,0.19,0.22,0.14,0.26,0.26,0.09,0.43,0.47,0.53,0.34,0.36
6,NA,NA,FosterCitycity,1,0.03,0.36,0.06,0.6,1,0.11,0.31,0.46,0.26,0.2,0.04,1,0.8,0.84,0.33,0.72,0.14,0.08,0.31,0.78,0.8,0.85,0.64,0.49,0.5,0.64,0.82,0.01,0.06,0.05,0.05,0.77,0.16
18,NA,NA,Evansvillecity,1,0.19,0.3,0.19,0.84,0.03,0.01,0.36,0.46,0.3,0.56,0.2,1,0.19,0.44,0.19,0.46,0.6,0.35,0.5,0.23,0.25,0.26,0.2,0.13,0.31,0.25,0.35,0.16,0.38,0.38,0.48,0.22,0.45
6,NA,NA,LaVernecity,1,0.03,0.56,0.06,0.74,0.44,0.34,0.45,0.43,0.3,0.39,0.05,1,0.58,0.6,0.25,0.53,0.45,0.22,0.51,0.58,0.46,0.47,0.4,0.23,0.39,0.37,0.5,0.01,0.1,0.16,0.25,0.43,0.2
41,NA,NA,Woodburncity,1,0.01,0.52,0.01,0.69,0.03,0.58,0.36,0.39,0.26,0.87,0,0,0.18,0.09,0.49,0.53,0.93,0.41,0.75,0.17,0.14,0.17,0.17,0.07,0.37,0.16,0.18,0.03,0.59,0.69,0.64,0.12,0.34
40,NA,NA,Altuscity,1,0.02,0.5,0.24,0.65,0.1,0.22,0.48,0.6,0.41,0.34,0,0,0.17,0.5,0.88,0.36,0.43,0.48,0.51,0.16,0.18,0.2,0.18,0.15,0.32,0.15,0.2,0.03,0.48,0.36,0.42,0.27,0.5
34,23,59280,Plainsborotownship,1,0.01,0.14,0.21,0.67,0.61,0.07,0.18,0.69,0.26,0.04,0,0,0.58,0.98,0.18,0.66,0,0.03,0,0.68,0.78,0.82,0.46,0,0.51,0.76,0.73,0,0.02,0.04,0.03,0.98,0.16
34,29,40560,LittleEggHarbortownship,1,0.01,0.46,0.01,0.98,0.03,0.04,0.31,0.38,0.2,0.59,0,0,0.37,0.44,0.16,0.47,0.63,0.15,0.74,0.36,0.31,0.3,0.44,0.34,0.29,0.4,0.53,0,0.1,0.21,0.44,0.15,0.51
44,7,22960,EastProvidencecity,1,0.06,0.37,0.08,0.88,0.03,0.03,0.31,0.42,0.26,0.62,0.08,1,0.32,0.46,0.2,0.5,0.65,0.33,0.63,0.35,0.32,0.31,0.35,0.15,0.24,0.35,0.34,0.03,0.17,0.49,0.58,0.24,0.33
1,NA,NA,Fairfieldcity,1,0,0.45,1,0,0.01,0,0.43,0.41,0.27,0.57,0.02,1,0.16,0.38,0.1,0.16,0.71,0.44,0.61,0.19,0.16,0.23,0.23,0.27,0.69,0,0.16,0.02,0.54,0.39,0.5,0.26,0.56
6,NA,NA,Carlsbadcity,1,0.09,0.37,0.02,0.85,0.19,0.25,0.29,0.4,0.24,0.43,0.1,1,0.56,0.56,0.31,0.64,0.42,0.18,0.6,0.55,0.57,0.58,0.55,0.31,0.52,0.26,0.35,0.04,0.17,0.14,0.15,0.58,0.27
34,3,55950,Paramusborough,1,0.02,0.73,0.02,0.82,0.64,0.07,0.34,0.37,0.27,0.55,0.04,1,0.78,0.74,0.19,0.8,0.54,0.02,0.57,0.72,0.59,0.58,0.32,0.05,0.48,0.42,0.68,0.01,0.07,0.21,0.23,0.5,0.18
8,NA,NA,FortCollinscity,1,0.12,0.41,0.02,0.9,0.15,0.13,0.72,0.79,0.73,0.21,0.14,1,0.25,0.73,0.52,0.6,0.22,0.16,0.24,0.35,0.28,0.28,0.21,0.14,0.24,0.23,0.27,0.13,0.44,0.12,0.12,0.7,0.34
34,7,81740,Winslowtownship,1,0.03,0.67,0.45,0.61,0.07,0.05,0.38,0.5,0.25,0.24,0.03,0.68,0.47,0.71,0.27,0.38,0.34,0.2,0.35,0.42,0.3,0.31,0.32,0.31,0.46,0.22,0.29,0.02,0.18,0.27,0.41,0.27,0.32
35,NA,NA,Artesiacity,1,0,0.47,0.03,0.69,0.01,0.72,0.42,0.41,0.24,0.5,0,0,0.18,0.28,0.49,0.34,0.65,0.45,0.31,0.21,0.18,0.21,0.15,0.14,0.06,0.18,0.22,0.02,0.57,0.65,0.62,0.18,0.45
8,NA,NA,Littletoncity,1,0.04,0.32,0.02,0.95,0.08,0.09,0.34,0.43,0.26,0.38,0.05,1,0.37,0.62,0.19,0.59,0.38,0.16,0.48,0.44,0.45,0.44,0.48,0.19,0.26,0.31,0.39,0.02,0.18,0.08,0.15,0.58,0.26
33,19,12900,Claremontcity,1,0.01,0.35,0.01,0.98,0.03,0.01,0.39,0.44,0.28,0.55,0,0,0.23,0.45,0.05,0.45,0.6,0.38,0.6,0.24,0.22,0.21,0.34,0.13,0.13,0,0.52,0.02,0.34,0.41,0.57,0.17,0.47
18,NA,NA,Kokomocity,1,0.06,0.31,0.17,0.84,0.04,0.03,0.4,0.48,0.29,0.43,0.07,1,0.24,0.47,0.19,0.42,0.52,0.38,0.7,0.27,0.26,0.25,0.3,0.16,0.33,0.34,0.26,0.07,0.43,0.32,0.45,0.19,0.54
6,NA,NA,Riversidecity,1,0.35,0.62,0.14,0.56,0.32,0.48,0.52,0.6,0.42,0.26,0.36,1,0.38,0.66,0.22,0.38,0.32,0.42,0.46,0.39,0.31,0.36,0.31,0.21,0.28,0.24,0.3,0.24,0.31,0.3,0.38,0.3,0.44
34,7,57660,Pennsaukentownship,1,0.04,0.52,0.29,0.71,0.11,0.09,0.33,0.42,0.24,0.52,0.05,1,0.4,0.58,0.07,0.52,0.58,0.24,0.58,0.4,0.33,0.33,0.33,0.27,0.33,0.28,0.34,0.02,0.13,0.27,0.43,0.2,0.23
34,5,45120,Medfordtownship,1,0.02,0.62,0.01,0.98,0.07,0.02,0.49,0.4,0.3,0.26,0.03,0.77,0.79,0.75,0.3,0.73,0.35,0.05,0.44,0.74,0.67,0.65,0.56,0.3,0.31,0.22,0.42,0,0.05,0.11,0.14,0.67,0.24
39,NA,NA,Franklincity,1,0,0.47,0.02,0.99,0.01,0,0.45,0.54,0.35,0.34,0.02,1,0.23,0.49,0.3,0.28,0.5,0.49,0.53,0.24,0.18,0.17,0.41,0.05,0.18,0,0.32,0.02,0.43,0.63,0.7,0.08,0.53
48,NA,NA,MineralWellscity,1,0.01,0.48,0.1,0.8,0.06,0.23,0.43,0.46,0.3,0.53,0,0,0.13,0.35,0.32,0.3,0.67,0.53,0.49,0.13,0.13,0.13,0.16,0.13,0.53,0.19,0.22,0.03,0.61,0.53,0.66,0.16,0.65
6,NA,NA,Concordcity,1,0.16,0.44,0.05,0.76,0.53,0.21,0.37,0.49,0.3,0.29,0.18,1,0.5,0.7,0.21,0.52,0.29,0.31,0.45,0.49,0.43,0.44,0.39,0.25,0.33,0.33,0.44,0.07,0.16,0.12,0.18,0.42,0.25
53,NA,NA,Centraliacity,1,0,0.34,0.01,0.95,0.06,0.06,0.4,0.44,0.28,0.58,0,0,0.17,0.28,0.22,0.41,0.68,0.53,0.5,0.2,0.19,0.18,0.16,0.09,0.35,0.32,0.21,0.02,0.43,0.32,0.46,0.15,0.44
1,NA,NA,Huntsvillecity,1,0.24,0.37,0.48,0.58,0.13,0.02,0.44,0.55,0.38,0.31,0.25,0.99,0.34,0.67,0.33,0.51,0.32,0.21,0.58,0.38,0.38,0.45,0.22,0.19,0.35,0.5,0.5,0.16,0.3,0.22,0.3,0.54,0.33
34,35,43620,Manvilleborough,1,0,0.4,0,0.98,0.05,0.03,0.26,0.42,0.24,0.56,0.02,1,0.43,0.53,0,0.57,0.67,0.25,0.86,0.45,0.38,0.36,0.08,0.33,0.35,0.25,0.49,0,0.1,0.44,0.48,0.13,0.22
34,31,30570,Hawthorneborough,1,0.01,0.36,0.01,0.97,0.06,0.06,0.24,0.41,0.24,0.58,0.03,1,0.52,0.55,0.24,0.71,0.63,0.06,0.53,0.52,0.49,0.47,1,0.7,0.32,0.66,0.89,0,0.08,0.36,0.39,0.35,0.2
51,790,75216,Stauntoncity,1,0.02,0.41,0.25,0.8,0.02,0.01,0.38,0.44,0.31,0.56,0,0,0.23,0.47,0.27,0.46,0.61,0.35,0.63,0.27,0.27,0.28,0.22,0.09,0.13,0.17,0.23,0.02,0.3,0.47,0.49,0.27,0.18
41,NA,NA,LaGrandecity,1,0,0.38,0.01,0.93,0.12,0.04,0.61,0.57,0.49,0.47,0,0,0.16,0.49,0.61,0.47,0.47,0.37,0.36,0.23,0.18,0.18,0.18,0.09,0.13,0.29,0.3,0.02,0.5,0.22,0.32,0.3,0.47
4,NA,NA,CasaGrandecity,1,0.01,0.59,0.1,0.64,0.05,0.64,0.48,0.5,0.31,0.34,0,0,0.24,0.56,0.59,0.3,0.44,0.49,0.34,0.22,0.21,0.24,0.17,0.08,0.5,0.21,0.26,0.03,0.46,0.51,0.48,0.21,0.51
6,NA,NA,Banningcity,1,0.02,0.5,0.19,0.53,0.45,0.43,0.35,0.36,0.22,0.71,0,0,0.18,0.08,0.12,0.37,0.83,0.91,0.82,0.2,0.21,0.26,0.23,0.11,0.1,0.23,0.24,0.03,0.44,0.45,0.65,0.14,0.74
6,NA,NA,ManhattanBeachcity,1,0.04,0.25,0.01,0.91,0.27,0.09,0.15,0.42,0.19,0.26,0.05,1,0.92,0.71,0.31,0.76,0.21,0.09,0.33,0.96,1,1,0.6,0.34,0.86,0.7,0.98,0.01,0.09,0.02,0.04,0.93,0.08
37,NA,NA,Gastoniacity,1,0.07,0.42,0.48,0.61,0.04,0.01,0.43,0.48,0.32,0.47,0.09,1,0.24,0.51,0.23,0.31,0.55,0.44,0.45,0.26,0.26,0.3,0.2,0.23,0.3,0.23,0.34,0.07,0.37,0.59,0.66,0.24,0.31
34,3,42750,Mahwahtownship,1,0.01,0.43,0.07,0.86,0.24,0.05,0.4,0.58,0.39,0.24,0.03,0.93,0.74,0.84,0.25,0.75,0.21,0.09,0.31,0.74,0.78,0.8,0.45,0.11,0.42,0.34,0.51,0,0.08,0.15,0.15,0.71,0.21
34,23,58200,PerthAmboycity,1,0.05,0.59,0.23,0.39,0.09,1,0.45,0.55,0.37,0.45,0.07,1,0.28,0.51,0.16,0.32,0.55,0.5,0.45,0.28,0.21,0.24,0.27,0.16,0.31,0.27,0.32,0.06,0.4,1,0.89,0.11,0.75
36,53,54837,Oneidacity,1,0,0.39,0.01,0.97,0.03,0.01,0.39,0.47,0.29,0.52,0,0,0.22,0.37,0.22,0.45,0.61,0.34,0.57,0.23,0.22,0.21,0.32,0.11,0.78,0.11,0.46,0.01,0.25,0.24,0.4,0.24,0.23
29,NA,NA,Chesterfieldcity,1,0.04,0.57,0.05,0.91,0.22,0.02,0.46,0.38,0.25,0.25,0.06,1,0.91,0.75,0.47,0.88,0.28,0.03,0.37,0.9,0.79,0.78,0.64,0.26,0.47,0.55,1,0.01,0.04,0.1,0.09,0.88,0.07
6,NA,NA,Petalumacity,1,0.05,0.46,0.02,0.88,0.2,0.17,0.35,0.4,0.24,0.36,0,0,0.48,0.62,0.3,0.56,0.4,0.22,0.54,0.48,0.41,0.41,0.36,0.36,0.34,0.24,0.39,0.02,0.1,0.15,0.22,0.39,0.2
19,NA,NA,CedarFallscity,1,0.04,0.58,0.02,0.96,0.09,0.01,0.95,0.83,0.91,0.32,0.05,1,0.27,0.62,0.6,0.65,0.43,0.19,0.53,0.35,0.24,0.23,0.23,0.09,0.21,0.13,0.2,0.04,0.44,0.14,0.18,0.51,0.29
9,9,34950,Guilfordtown,1,0.02,0.49,0.01,0.98,0.05,0.03,0.37,0.32,0.2,0.3,0,0.09,0.73,0.77,0.19,0.79,0.32,0.06,0.36,0.7,0.67,0.65,0.69,0.44,0.4,0.95,0.79,0,0.06,0.07,0.12,0.71,0.18
9,9,46520,Meridentown,1,0.08,0.39,0.08,0.85,0.04,0.25,0.33,0.48,0.27,0.47,0.09,1,0.41,0.57,0.12,0.54,0.52,0.3,0.57,0.41,0.36,0.37,0.3,0.25,0.18,0.24,0.3,0.04,0.18,0.37,0.47,0.24,0.3
25,1,82525,Yarmouthtown,1,0.02,0.21,0.02,0.97,0.02,0.02,0.21,0.26,0.16,1,0.03,0.99,0.26,0.12,0.15,0.57,0.92,0.33,1,0.29,0.34,0.33,0.11,0.17,0.16,0.21,0.26,0.02,0.24,0.08,0.22,0.35,0.51
40,NA,NA,DelCitycity,1,0.02,0.41,0.21,0.72,0.11,0.05,0.46,0.48,0.31,0.38,0.04,1,0.23,0.55,0.16,0.4,0.44,0.27,0.8,0.22,0.2,0.22,0.15,0.14,0.18,0.26,0.3,0.03,0.39,0.18,0.39,0.14,0.51
48,NA,NA,PortArthurcity,1,0.08,0.43,0.82,0.22,0.29,0.15,0.41,0.43,0.26,0.57,0.09,0.99,0.11,0.26,0.18,0.29,0.67,0.56,0.53,0.14,0.15,0.25,0.18,0.11,0.1,0.17,0.23,0.15,0.75,0.57,0.61,0.14,0.89
8,NA,NA,Pueblocity,1,0.14,0.4,0.04,0.74,0.04,0.73,0.42,0.43,0.29,0.52,0.16,1,0.15,0.3,0.16,0.34,0.58,0.61,0.75,0.16,0.17,0.18,0.18,0.12,0.22,0.2,0.25,0.19,0.57,0.42,0.46,0.21,0.62
8,NA,NA,Auroracity,1,0.34,0.35,0.22,0.73,0.23,0.12,0.37,0.52,0.28,0.19,0.35,1,0.36,0.78,0.29,0.48,0.19,0.17,0.41,0.36,0.35,0.36,0.29,0.18,0.24,0.35,0.41,0.15,0.19,0.08,0.14,0.42,0.26
36,119,84000,Yonkerscity,1,0.29,0.42,0.27,0.64,0.18,0.31,0.33,0.45,0.28,0.55,0.3,1,0.41,0.48,0.12,0.49,0.58,0.44,0.54,0.43,0.42,0.47,0.29,0.14,0.42,0.25,0.33,0.19,0.28,0.38,0.45,0.34,0.4
49,NA,NA,Ogdencity,1,0.09,0.43,0.05,0.81,0.11,0.22,0.47,0.54,0.38,0.47,0.1,1,0.2,0.44,0.22,0.42,0.53,0.47,0.62,0.22,0.19,0.2,0.19,0.12,0.21,0.21,0.24,0.09,0.44,0.26,0.43,0.25,0.54
48,NA,NA,Vernoncity,1,0,0.42,0.21,0.65,0.04,0.28,0.44,0.42,0.3,0.65,0,0,0.15,0.29,0.88,0.39,0.76,0.28,0.38,0.17,0.15,0.18,0.1,0.17,0.15,0.21,0.22,0.02,0.52,0.69,0.69,0.18,0.33
39,99,63968,Polandtownship,1,0.01,0.52,0,1,0.01,0.01,0.38,0.31,0.21,0.52,0.02,0.81,0.4,0.48,0.05,0.64,0.6,0.2,0.8,0.39,0.35,0.33,0,0.12,0,0.03,0.39,0,0.09,0.1,0.19,0.43,0.23
46,27,66700,Vermillioncity,1,0,0.65,0.01,0.91,0.09,0.02,1,1,1,0.2,0,0,0.08,0.73,0.9,0.55,0.3,0.18,0.21,0.19,0.11,0.11,0.23,0.06,0.11,0.13,0.12,0.02,0.82,0.23,0.21,0.72,0.43
29,NA,NA,Carthagecity,1,0,0.36,0.04,0.93,0.1,0.01,0.34,0.38,0.23,0.69,0,0,0.14,0.31,0.42,0.45,0.73,0.27,0.44,0.16,0.19,0.19,0.28,0.16,0.06,0,0.2,0.01,0.31,0.45,0.53,0.18,0.32
4,NA,NA,LakeHavasuCitycity,1,0.02,0.34,0,0.97,0.03,0.07,0.24,0.25,0.14,0.88,0,0,0.28,0.24,0.11,0.55,0.82,0.16,0.98,0.26,0.32,0.31,0.29,0.17,0.13,0.15,0.27,0.02,0.2,0.17,0.35,0.2,0.15
6,NA,NA,SealBeachcity,1,0.02,0.04,0.02,0.91,0.26,0.09,0.13,0.23,0.13,1,0.04,1,0.35,0,0.27,0.78,1,0.16,1,0.55,0.71,0.68,0.54,0.26,0.68,0.45,0.65,0.01,0.11,0.14,0.22,0.51,0.12
41,NA,NA,Lebanoncity,1,0,0.37,0,0.96,0.05,0.04,0.39,0.42,0.26,0.61,0,0,0.15,0.26,0.26,0.44,0.67,0.49,0.63,0.16,0.17,0.16,0.17,0.12,0.27,0.3,0.3,0.02,0.49,0.32,0.48,0.13,0.71
6,NA,NA,Yucaipacity,1,0.04,0.34,0.01,0.89,0.06,0.2,0.32,0.32,0.18,0.79,0.05,1,0.26,0.12,0.17,0.51,0.83,0.43,0.77,0.31,0.31,0.3,0.36,0.23,0.4,0.27,0.33,0.02,0.19,0.27,0.45,0.18,0.3
12,NA,NA,KeyWestcity,1,0.02,0.3,0.2,0.79,0.09,0.31,0.22,0.47,0.26,0.37,0,0,0.27,0.62,0.28,0.42,0.32,0.24,0.39,0.26,0.36,0.37,0.24,0.4,0.32,0.26,0.48,0.02,0.27,0.32,0.34,0.33,0.12
28,NA,NA,Clintoncity,1,0.02,0.58,0.33,0.72,0.05,0.01,0.58,0.59,0.44,0.24,0.03,1,0.41,0.79,0.33,0.49,0.29,0.17,0.43,0.42,0.33,0.37,0.17,0,0.37,0.33,0.32,0.02,0.24,0.15,0.21,0.62,0.16
44,3,22240,EastGreenwichtown,1,0,0.45,0.01,0.97,0.08,0.01,0.39,0.34,0.24,0.36,0.01,0.66,0.65,0.62,0.08,0.74,0.43,0.22,0.54,0.71,0.72,0.7,0.28,0.86,0.68,0,0.49,0,0.11,0.09,0.15,0.72,0.21
